Date,Open
2019-05-17,5280.0
2019-05-20,5180.0
2019-05-21,5470.0
2019-05-22,5530.0
2019-05-23,5440.0
2019-05-24,5610.0
2019-05-27,5535.0
2019-05-28,5655.0
2019-05-29,5800.0
2019-05-31,5740.0
2019-06-10,6000.0
2019-06-11,5900.0
2019-06-12,5840.0
2019-06-13,5885.0
2019-06-14,5845.0
2019-06-17,5810.0
2019-06-18,5795.0
2019-06-19,5900.0
2019-06-20,5900.0
2019-06-21,5910.0
2019-06-24,5895.0
2019-06-25,5930.0
2019-06-26,5940.0
2019-06-27,5850.0
2019-06-28,5980.0
2019-07-01,5995.0
2019-07-02,5990.0
2019-07-03,5950.0
2019-07-04,6000.0
2019-07-05,6020.0
2019-07-08,5935.0
2019-07-09,5870.0
2019-07-10,6000.0
2019-07-11,6020.0
2019-07-12,6000.0
2019-07-15,6060.0
2019-07-16,6080.0
2019-07-17,6080.0
2019-07-18,6100.0
2019-07-19,6195.0
2019-07-22,6260.0
2019-07-23,6240.0
2019-07-24,6260.0
2019-07-25,6270.0
2019-07-26,6250.0
2019-07-29,6220.0
2019-07-30,6205.0
2019-07-31,6190.0
2019-08-01,6190.0
2019-08-02,6160.0
2019-08-05,6215.0
2019-08-06,5880.0
2019-08-07,5975.0
2019-08-08,6010.0
2019-08-09,6055.0
2019-08-12,6070.0
2019-08-13,6000.0
2019-08-14,6040.0
2019-08-15,5920.0
2019-08-16,6040.0
2019-08-19,6030.0
2019-08-20,6035.0
2019-08-21,6000.0
2019-08-22,5925.0
2019-08-23,5920.0
2019-08-26,5940.0
2019-08-27,6040.0
2019-08-28,6000.0
2019-08-29,5990.0
2019-08-30,6080.0
2019-09-02,6100.0
2019-09-03,6000.0
2019-09-04,6060.0
2019-09-05,6085.0
2019-09-06,6060.0
2019-09-09,6050.0
2019-09-10,6020.0
2019-09-11,6050.0
2019-09-12,6100.0
2019-09-13,6080.0
2019-09-16,6000.0
2019-09-17,5990.0
2019-09-18,5990.0
2019-09-19,6015.0
2019-09-20,6050.0
2019-09-23,6030.0
2019-09-24,5980.0
2019-09-25,5900.0
2019-09-26,6000.0
2019-09-27,6005.0
2019-09-30,6070.0
2019-10-01,6010.0
2019-10-02,6010.0
2019-10-03,6010.0
2019-10-04,5980.0
2019-10-07,6070.0
2019-10-08,6080.0
2019-10-09,6100.0
2019-10-10,6020.0
2019-10-11,6080.0
2019-10-14,6130.0
2019-10-15,6190.0
2019-10-16,6200.0
2019-10-17,6185.0
2019-10-18,6160.0
2019-10-21,6200.0
2019-10-22,6270.0
2019-10-23,6300.0
2019-10-24,6290.0
2019-10-25,6320.0
2019-10-28,6200.0
2019-10-29,6205.0
2019-10-30,6280.0
2019-10-31,6270.0
2019-11-01,6300.0
2019-11-04,6350.0
2019-11-05,6350.0
2019-11-06,6380.0
2019-11-07,6335.0
2019-11-08,6315.0
2019-11-11,6335.0
2019-11-12,6220.0
2019-11-13,6265.0
2019-11-14,6265.0
2019-11-15,6280.0
2019-11-18,6245.0
2019-11-19,6330.0
2019-11-20,6255.0
2019-11-21,6350.0
2019-11-22,6280.0
2019-11-25,6330.0
2019-11-26,6330.0
2019-11-27,6270.0
2019-11-28,6295.0
2019-11-29,6230.0
2019-12-02,6280.0
2019-12-03,6420.0
2019-12-04,6360.0
2019-12-05,6360.0
2019-12-06,6340.0
2019-12-09,6370.0
2019-12-10,6395.0
2019-12-11,6365.0
2019-12-12,6400.0
2019-12-13,6395.0
2019-12-16,6340.0
2019-12-17,6395.0
2019-12-18,6500.0
2019-12-19,6700.0
2019-12-20,6680.0
2019-12-23,6680.0
2019-12-26,6660.0
2019-12-27,6670.0
2019-12-30,6680.0
2020-01-02,6695.0
2020-01-03,6750.0
2020-01-06,6720.0
2020-01-07,6735.0
2020-01-08,6670.0
2020-01-09,6740.0
2020-01-10,6765.0
2020-01-13,6740.0
2020-01-14,6745.0
2020-01-15,6870.0
2020-01-16,6805.0
2020-01-17,6840.0
2020-01-20,6950.0
2020-01-21,6885.0
2020-01-22,6855.0
2020-01-23,6885.0
2020-01-24,6820.0
2020-01-27,6865.0
2020-01-28,6835.0
2020-01-29,6800.0
2020-01-30,6845.0
2020-01-31,6800.0
2020-02-03,6480.0
2020-02-04,6570.0
2020-02-05,6780.0
2020-02-06,6740.0
2020-02-07,6710.0
2020-02-10,6760.0
2020-02-11,6785.0
2020-02-12,6800.0
2020-02-13,6820.0
2020-02-14,6780.0
2020-02-17,6680.0
2020-02-18,6685.0
2020-02-19,6665.0
2020-02-20,6690.0
2020-02-21,6600.0
2020-02-24,6565.0
2020-02-25,6550.0
2020-02-26,6500.0
2020-02-27,6470.0
2020-02-28,6200.0
2020-03-02,6290.0
2020-03-03,6200.0
2020-03-04,6315.0
2020-03-05,6540.0
2020-03-06,6350.0
2020-03-09,6000.0
2020-03-10,5840.0
2020-03-11,5950.0
2020-03-12,5600.0
2020-03-17,5495.0
2020-03-18,5120.0
2020-03-19,4995.0
2020-03-20,4600.0
2020-03-23,4760.0
2020-03-24,4450.0
2020-03-26,4650.0
2020-03-27,5360.0
2020-03-30,5480.0
2020-03-31,5660.0
2020-04-01,5560.0
2020-04-02,5470.0
2020-04-03,5460.0
2020-04-06,5520.0
2020-04-07,5735.0
2020-04-08,5655.0
